Type	Ticket	Symbol	Lots	Buy/sell	Open price	Close price	Open time	Close time	Open date	Close date	Profit	Swap	Commission	Net profit	T/P	S/L	Pips	Result	Trade duration (hours)	Magic number	Order comment	Account
DEMO	2934224408359997440	BTC-USDT	0.00157066	Buy	123578.59070327123	123591.27034495054	2025-10-08T18:45:02Z	2025-10-08T18:46:01Z	2025-10-08	2025-10-08	0.0199154060000214		0.388219809274	-0.36830441	123795.86428571428	123391.25714285715		loss		25000101	Exit Signal	Demo OKX
DEMO	2934230442789048320	BTC-USDT	0.00156993	Buy	123635.5949035944	123629.58703954953	2025-10-08T18:48:02Z	2025-10-08T18:49:01Z	2025-10-08	2025-10-08	-0.0094319259999743		0.38818902950699996	-0.39762095	123808.17857142857	123390.71428571429		loss	0.02	25000101	Exit Signal	Demo OKX
DEMO	2934236484935618560	BTC-USDT	0.00156957	Buy	123600.0	123693.65007294992	2025-10-08T18:51:03Z	2025-10-08T18:52:01Z	2025-10-08	2025-10-08	0.1469903450000121		0.388144692	-0.24115435	123892.09285714285	123481.77142857143		loss	0.02	25000101	Exit Signal	Demo OKX
DEMO	2934246552406069248	BTC-USDT	0.00156733	Buy	123776.80644790824	123633.18399060822	2025-10-08T18:56:02Z	2025-10-08T18:57:01Z	2025-10-08	2025-10-08	-0.22510378600004313		0.38777310205	-0.61287689	123966.44285714286	123610.87142857144		loss	0.02	25000101	Exit Signal	Demo OKX
DEMO	2934258627136196608	BTC-USDT	0.0015713	Buy	123400.6	123379.25893464012	2025-10-08T19:02:03Z	2025-10-08T19:03:01Z	2025-10-08	2025-10-08	-0.03353321599998564		0.38776519278	-0.42129841	123667.92857142857	123221.21428571428		loss	0.02	25000101	Exit Signal	Demo OKX
DEMO	2934266677314195456	BTC-USDT	0.00157028	Buy	123480.9	123450.9472603612	2025-10-08T19:06:02Z	2025-10-08T19:07:01Z	2025-10-08	2025-10-08	-0.047034188000015284		0.387752137652	-0.43478633	123721.61428571428	123318.25714285715		loss	0.02	25000101	Exit Signal	Demo OKX
DEMO	2934274741350174720	BTC-USDT	0.00157117	Buy	123346.9	123119.3	2025-10-08T19:10:02Z	2025-10-08T19:15:01Z	2025-10-08	2025-10-08	-0.3575982919999863		0.387240298873	-0.74483859	123961.72857142857	122932.01428571428		loss	0.08	25000102	Exit Signal	Demo OKX
DEMO	2934274738598711296	BTC-USDT	0.00157119	Buy	123345.92384498374	123119.3	2025-10-08T19:10:02Z	2025-10-08T19:15:01Z	2025-10-08	2025-10-08	-0.35606911900000265		0.387243692086	-0.74331281	123595.81428571428	123175.95714285714		loss	0.08	25000101	Exit Signal	Demo OKX
DEMO	2934290836069027840	BTC-USDT	0.00157135	Buy	123205.7	123431.80000000002	2025-10-08T19:18:02Z	2025-10-08T19:21:55Z	2025-10-08	2025-10-08	0.35528223500003203		0.387553836695	-0.0322716	123432.0857142857	123054.44285714287		loss	0.06	25000101	TP	Demo OKX
DEMO	2934294866828726272	BTC-USDT	0.00126243	Buy	123333.25297244203	123540.19999999998	2025-10-08T19:20:03Z	2025-10-08T19:25:02Z	2025-10-08	2025-10-08	0.2612561359999847		0.31166044854999997	-0.05040432	123914.44285714284	122836.87142857142		loss	0.08	25000102	Exit Signal	Demo OKX
DEMO	2934298891749953536	BTC-USDT	0.00132123	Buy	123445.53439976384	123506.01679571309	2025-10-08T19:22:02Z	2025-10-08T19:23:01Z	2025-10-08	2025-10-08	0.07991115600002709		0.32627979341499996	-0.24636864	123702.87142857141	123264.58571428571		loss	0.02	25000101	Exit Signal	Demo OKX
